Date,NFLX,JPM,GS,AAPL
2015-06-24,96.94428253173828,52.45013427734375,175.3521270751953,28.692392349243164
2015-06-25,94.89142608642578,52.1689567565918,174.0355682373047,28.555768966674805
2015-06-26,93.08856964111328,52.39692687988281,174.3217315673828,28.387794494628906
2015-06-29,92.23143005371094,51.067073822021484,169.8076934814453,27.890586853027344
2015-06-30,93.84857177734375,51.49262619018555,170.73997497558594,28.092164993286133
2015-07-01,93.63571166992188,52.06629180908203,171.6803741455078,28.354206085205078
2015-07-02,94.0442886352539,51.64558792114258,171.07525634765625,28.318370819091797
2015-07-06,94.57142639160156,51.50027084350586,170.12672424316406,28.21982192993164
2015-07-07,94.0914306640625,51.09488296508789,170.2657012939453,28.150400161743164
2015-07-08,93.50714111328125,50.046974182128906,166.87196350097656,27.451618194580078
2015-07-09,95.72714233398438,50.56711196899414,167.4853057861328,26.891695022583008
2015-07-10,97.22856903076172,51.286109924316406,169.43157958984375,27.610631942749023
2015-07-13,101.08714294433594,52.08158874511719,171.82754516601562,28.143674850463867
2015-07-14,100.37142944335938,52.808258056640625,173.495849609375,28.132476806640625
2015-07-15,98.12999725341797,52.922977447509766,174.1500244140625,28.403474807739258
2015-07-16,115.80999755859375,53.205989837646484,172.6943817138672,28.7819766998291
2015-07-17,114.7699966430664,52.93825149536133,173.74119567871094,29.030574798583984
2015-07-20,110.55000305175781,52.97651672363281,173.68386840820312,29.57930564880371
2015-07-21,112.51000213623047,52.8541259765625,172.95608520507812,29.283662796020508
2015-07-22,111.5,53.60373306274414,174.3871612548828,28.045124053955078
2015-07-23,110.0999984741211,53.26717758178711,172.58807373046875,28.03168487548828
2015-07-24,109.33999633789062,52.70882034301758,169.56240844726562,27.88387107849121
2015-07-27,106.43000030517578,52.020389556884766,167.656982421875,27.496410369873047
2015-07-28,106.9000015258789,52.05099105834961,168.65469360351562,27.63302993774414
2015-07-29,107.08000183105469,52.73176956176758,169.1453094482422,27.545682907104492
2015-07-30,111.55999755859375,52.808258056640625,169.43975830078125,27.406818389892578
2015-07-31,114.30999755859375,52.41815185546875,167.69790649414062,27.16717529296875
2015-08-03,112.55999755859375,52.41815185546875,167.38714599609375,26.52663230895996
2015-08-04,121.1500015258789,52.364593505859375,167.77967834472656,25.675561904907227
2015-08-05,123.70999908447266,52.57113265991211,168.2130889892578,25.845773696899414
2015-08-06,126.44999694824219,52.20396041870117,167.71421813964844,25.902015686035156
2015-08-07,123.5199966430664,52.05099105834961,166.364990234375,25.989761352539062
2015-08-10,123.02999877929688,52.69350814819336,168.4338836669922,26.93467140197754
2015-08-11,122.73999786376953,52.188682556152344,164.94204711914062,25.533048629760742
2015-08-12,120.51000213623047,51.43142318725586,164.4759063720703,25.926767349243164
2015-08-13,123.7300033569336,51.66854476928711,164.15701293945312,25.906513214111328
2015-08-14,123.38999938964844,51.928611755371094,165.20372009277344,26.088754653930664
2015-08-17,125.36000061035156,52.06629180908203,165.65347290039062,26.35872459411621
2015-08-18,124.05000305175781,52.173377990722656,164.5167999267578,26.210237503051758
2015-08-19,122.05999755859375,51.706790924072266,164.3287353515625,25.87502098083496
2015-08-20,112.48999786376953,50.437068939208984,160.8941192626953,25.344066619873047
2015-08-21,103.95999908447266,48.647212982177734,153.52618408203125,23.793954849243164
2015-08-24,96.87999725341797,46.0848274230957,146.7550811767578,23.199995040893555
2015-08-25,101.5199966430664,45.82476806640625,145.7410888671875,23.339487075805664
2015-08-26,110.12999725341797,48.11944580078125,150.79478454589844,24.67812156677246
2015-08-27,117.66000366210938,49.320335388183594,154.72824096679688,25.404809951782227
2015-08-28,117.62999725341797,49.05260467529297,154.0635528564453,25.488048553466797
2015-08-31,115.02999877929688,49.0296745300293,154.76101684570312,25.368812561035156
2015-09-01,105.79000091552734,47.00270080566406,149.44366455078125,24.234907150268555
2015-09-02,105.44000244140625,47.85939025878906,151.40492248535156,25.27431869506836
2015-09-03,101.05999755859375,47.94352722167969,151.856201171875,24.83111000061035
2015-09-04,98.79000091552734,47.04094314575195,148.0159149169922,24.583629608154297
2015-09-08,94.94999694824219,48.310672760009766,152.52906799316406,25.2675724029541
2015-09-09,99.18000030517578,47.56106948852539,152.3649444580078,24.781614303588867
2015-09-10,99.4800033569336,47.928226470947266,152.5537109375,25.326065063476562
2015-09-11,97.51000213623047,47.85172653198242,152.028564453125,25.695037841796875
2015-09-14,95.69000244140625,47.71405792236328,150.93716430664062,25.942514419555664
2015-09-15,99.16000366210938,48.63192367553711,153.8173828125,26.16073989868164
2015-09-16,104.08000183105469,49.06025314331055,154.7938690185547,26.18999481201172
2015-09-17,104.20999908447266,47.92057418823242,152.99676513671875,25.629785537719727
2015-09-18,102.62000274658203,46.612613677978516,148.4754638671875,25.524045944213867
2015-09-21,100.30000305175781,47.00270080566406,150.45301818847656,25.920013427734375
2015-09-22,98.47000122070312,46.58965301513672,147.4743194580078,25.512802124023438
2015-09-23,98.06999969482422,46.383121490478516,147.21998596191406,25.719778060913086
2015-09-24,103.76000213623047,46.061885833740234,145.1685028076172,25.872774124145508
2015-09-25,102.23999786376953,47.01799011230469,147.56454467773438,25.807525634765625
2015-09-28,99.47000122070312,45.878299713134766,141.9763946533203,25.29682159423828
2015-09-29,98.3499984741211,45.7712287902832,141.0245361328125,24.53638458251953
2015-09-30,103.26000213623047,46.635562896728516,142.58364868164062,24.81536102294922
2015-10-01,105.9800033569336,46.979759216308594,144.4381866455078,24.65337562561035
2015-10-02,106.11000061035156,46.848777770996094,145.25051879882812,24.833354949951172
